seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
223909,[야광명월(夜光明月)] 원초적음악집단 이드,20221028,20221028,서울돈화문국악당,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209211015883179.png,126.99066047282316,37.577277306497805
221449,전래동화음악극 &lt;호랑이와 곶감&gt;,20221028,20221029,복사골문화센터 판타지아극장,기타,,http://www.culture.go.kr/upload/rdf/22/09/show_202209113255036868.jpg,126.75432100539835,37.494965843837036
216943,마포아트센터 JAZZ REBOOT -VOCALIST - 김주환 밴드,20221028,20221028,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022080213293347601.jpg,126.94553370030141,37.54990185343695
216617,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(창원)",20221028,20221028,성산아트홀,음악,,http://www.culture.go.kr/upload/rdf/22/07/show_2022072916135483030.jpg,128.6836738028174,35.23006724264102
226545,숙명여자대학교 성악과 오페라 정기공연 &lt;마술피리&gt;,20221028,20221029,구로아트밸리예술극장,기타,,http://www.culture.go.kr/upload/rdf/22/10/show_2022101116442303259.jpg,126.88883217035202,37.49669169666762
223934,[야광명월(夜光明月)] 메탈리즘,20221029,20221029,서울돈화문국악당,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092110164365444.png,126.99066047282316,37.577277306497805
223097,"""제7회 M 클래식 축제"" M SQUARE 광장버스킹 〈#4. 현악 사중주〉",20221029,20221029,마포아트센터,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611574453743.jpg,126.94553370030141,37.54990185343695
226401,"오, 찰나!",20221029,20221102,어반플루토,미술,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100823165429093.png,126.89400275559309,37.538822844729516
225783,아니무스 콰르텟 연주회,20221029,20221029,PMF자양스테이션,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100515155277598.jpg,127.08302634367884,37.53463130540217
216946,마포아트센터 JAZZ REBOOT -VOCALIST - 김민희 & Her Trio,20221029,20221029,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022080213311955381.jpg,126.94553370030141,37.54990185343695
216953,마포아트센터 JAZZ REBOOT -VOCALIST - 이부영 콰르텟,20221029,20221029,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022080213354336403.jpg,126.94553370030141,37.54990185343695
223960,김선주 피아노 독주회 XVII - Schubert Die letzte 3 Sonaten,20221030,20221030,강릉아트센터 사임당홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092116124267851.jpg,128.89544638642795,37.77222823350114
222277,유러피안 재즈 트리오 디즈니 VS 지브리,20221030,20221030,롯데콘서트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022090716401812685.jpg,127.10444609228385,37.51374709658873
